icon,datetime,temp,windspeed,preciptype,description
rain,2018-11-09,9.5,17.6,rain,Cloudy skies throughout the day with a chance of rain throughout the day.
partly-cloudy-day,2018-11-10,6.1,47,--,Clearing in the afternoon.
clear-day,2018-11-11,3.7,14.1,--,Clear conditions throughout the day.
rain,2018-11-12,6.2,11.3,rain,Cloudy skies throughout the day with late afternoon rain.
rain,2018-11-13,8.1,25.5,rain,Cloudy skies throughout the day with rain clearing later.
partly-cloudy-day,2018-11-14,5.4,24.9,--,Partly cloudy throughout the day.
snow,2018-11-15,2.8,34.1,"rain, snow",Cloudy skies throughout the day with rain or snow.
rain,2018-11-16,6.8,28.9,rain,Partly cloudy throughout the day with early morning rain.
partly-cloudy-day,2018-11-17,7.1,21.4,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-11-18,6.2,14.6,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-11-19,9.2,13.2,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-11-20,9.5,43,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-11-21,6.3,31.9,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-11-22,1,28.3,--,Partly cloudy throughout the day.
cloudy,2018-11-23,-0.3,16,--,Cloudy skies throughout the day.
rain,2018-11-24,4.6,27,rain,Cloudy skies throughout the day with rain.
rain,2018-11-25,8.4,17.8,rain,Clearing in the afternoon with morning rain.
rain,2018-11-26,9.4,25.5,rain,Partly cloudy throughout the day with rain.
partly-cloudy-day,2018-11-27,4.7,35.1,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-11-28,2.1,40.8,--,Clearing in the afternoon.
partly-cloudy-day,2018-11-29,2.4,22.4,--,Partly cloudy throughout the day.
rain,2018-11-30,5.2,14,rain,Partly cloudy throughout the day with afternoon rain.
rain,2018-12-01,4.9,11.1,rain,Cloudy skies throughout the day with rain.
rain,2018-12-02,10.1,17.8,rain,Cloudy skies throughout the day with rain.
partly-cloudy-day,2018-12-03,12.3,23.7,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-12-04,5.6,25.1,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-12-05,2.2,16.6,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-12-06,3.9,21.3,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-12-07,3.5,28.4,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-12-08,0.8,23.3,--,Partly cloudy throughout the day.
cloudy,2018-12-09,0.9,21.4,--,Cloudy skies throughout the day.
rain,2018-12-10,1.2,23.2,rain,Partly cloudy throughout the day with afternoon rain.
rain,2018-12-11,1.9,14.2,rain,Clear conditions throughout the day with morning rain.
partly-cloudy-day,2018-12-12,3.8,16.3,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-12-13,6.6,10.5,--,Partly cloudy throughout the day.
rain,2018-12-14,6.6,13.5,rain,Cloudy skies throughout the day with rain.
rain,2018-12-15,10.8,29.1,rain,Cloudy skies throughout the day with a chance of rain throughout the day.
rain,2018-12-16,7.9,23.5,rain,Cloudy skies throughout the day with a chance of rain throughout the day.
partly-cloudy-day,2018-12-17,8.8,27.5,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-12-18,5.3,26.1,--,Clearing in the afternoon.
partly-cloudy-day,2018-12-19,4.1,15,--,Partly cloudy throughout the day.
rain,2018-12-20,5.5,24,rain,Partly cloudy throughout the day with rain.
rain,2018-12-21,15.7,31.3,rain,Cloudy skies throughout the day with a chance of rain throughout the day.
rain,2018-12-22,8.5,34.4,rain,Partly cloudy throughout the day with early morning rain.
rain,2018-12-23,6.5,21,rain,Becoming cloudy in the afternoon with late afternoon rain.
partly-cloudy-day,2018-12-24,6.7,30.4,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-12-25,3.5,16.6,--,Partly cloudy throughout the day.
clear-day,2018-12-26,3.3,14.2,--,Clear conditions throughout the day.
partly-cloudy-day,2018-12-27,5.9,15.3,--,Partly cloudy throughout the day.
rain,2018-12-28,9.6,17,rain,Cloudy skies throughout the day with a chance of rain throughout the day.
partly-cloudy-day,2018-12-29,9.3,26.7,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-12-30,5.8,14,--,Partly cloudy throughout the day.
rain,2018-12-31,7,11,rain,Cloudy skies throughout the day with rain.
rain,2019-01-01,13.6,30.1,rain,Partly cloudy throughout the day with rain clearing later.
cloudy,2019-01-02,7.4,15.8,--,Cloudy skies throughout the day.
rain,2019-01-03,8,28.2,rain,Partly cloudy throughout the day with early morning rain.
rain,2019-01-04,6.1,13.8,rain,Partly cloudy throughout the day with rain.
rain,2019-01-05,9.5,29.5,rain,Partly cloudy throughout the day with a chance of rain throughout the day.
partly-cloudy-day,2019-01-06,8.9,32.5,--,Partly cloudy throughout the day.
partly-cloudy-day,2019-01-07,3.1,21.1,--,Partly cloudy throughout the day.
rain,2019-01-08,8.7,25.5,rain,Partly cloudy throughout the day with rain.
rain,2019-01-09,6.8,52.2,rain,Partly cloudy throughout the day with early morning rain.
partly-cloudy-day,2019-01-10,0.8,38.9,--,Partly cloudy throughout the day.
partly-cloudy-day,2019-01-11,0.4,34.6,--,Partly cloudy throughout the day.
snow,2019-01-12,-0.1,12.4,"rain, snow",Partly cloudy throughout the day with late afternoon rain or snow.
snow,2019-01-13,-0.9,26.2,"rain, snow",Partly cloudy throughout the day with a chance of rain or snow throughout the day.
snow,2019-01-14,-0.3,19.7,"rain, snow",Partly cloudy throughout the day with rain or snow clearing later.
partly-cloudy-day,2019-01-15,0.3,30.6,--,Partly cloudy throughout the day.
partly-cloudy-day,2019-01-16,1.5,29.1,--,Partly cloudy throughout the day.
rain,2019-01-17,2.4,18.2,"rain, snow",Cloudy skies throughout the day with late afternoon rain or snow.
snow,2019-01-18,2.4,11.6,"rain, snow",Partly cloudy throughout the day with early morning snow or rain.
rain,2019-01-19,3.6,14.4,rain,Cloudy skies throughout the day with late afternoon rain.
rain,2019-01-20,2.6,50.1,rain,Partly cloudy throughout the day with early morning rain.
clear-day,2019-01-21,-7.4,43.6,--,Clear conditions throughout the day.
partly-cloudy-day,2019-01-22,-4.3,21.3,--,Partly cloudy throughout the day.
partly-cloudy-day,2019-01-23,5,30.8,--,Partly cloudy throughout the day.
rain,2019-01-24,9.8,40.2,rain,Partly cloudy throughout the day with a chance of rain throughout the day.
partly-cloudy-day,2019-01-25,2.7,28.9,--,Becoming cloudy in the afternoon.
partly-cloudy-day,2019-01-26,0.7,12.1,--,Partly cloudy throughout the day.
partly-cloudy-day,2019-01-27,3.7,22.6,--,Partly cloudy throughout the day.
partly-cloudy-day,2019-01-28,1.3,22.8,--,Partly cloudy throughout the day.
snow,2019-01-29,1.4,27.3,"rain, snow",Partly cloudy throughout the day with rain or snow.
partly-cloudy-day,2019-01-30,-4.4,41.6,snow,Partly cloudy throughout the day.
clear-day,2019-01-31,-8.2,16,--,Clear conditions throughout the day.
snow,2019-02-01,-5.8,16.4,snow,Partly cloudy throughout the day with snow in the morning and afternoon.
partly-cloudy-day,2019-02-02,-2.1,17.7,snow,Partly cloudy throughout the day.
partly-cloudy-day,2019-02-03,4.3,10.8,--,Partly cloudy throughout the day.
partly-cloudy-day,2019-02-04,6.9,10.6,--,Partly cloudy throughout the day.
partly-cloudy-day,2019-02-05,11.4,16.5,--,Partly cloudy throughout the day.
rain,2019-02-06,10.3,16.2,rain,Becoming cloudy in the afternoon with late afternoon rain.
partly-cloudy-day,2019-02-07,10,14,--,Partly cloudy throughout the day.
rain,2019-02-08,9.1,39.4,rain,Partly cloudy throughout the day with early morning rain.
partly-cloudy-day,2019-02-09,0.3,34.4,--,Clearing in the afternoon.
rain,2019-02-10,0.7,16.6,"rain, snow",Partly cloudy throughout the day with late afternoon rain or snow.
snow,2019-02-11,1.8,19.5,"rain, snow",Cloudy skies throughout the day with a chance of rain or snow throughout the day.
snow,2019-02-12,3.1,21.7,"rain, snow",Cloudy skies throughout the day with a chance of rain or snow throughout the day.
rain,2019-02-13,5.9,26.9,rain,Partly cloudy throughout the day with early morning rain.
partly-cloudy-day,2019-02-14,6.1,18.3,--,Partly cloudy throughout the day.
partly-cloudy-day,2019-02-15,13.2,32.6,--,Partly cloudy throughout the day.
partly-cloudy-day,2019-02-16,6.1,33.2,--,Partly cloudy throughout the day.
rain,2019-02-17,2.1,15.8,rain,Partly cloudy throughout the day with late afternoon rain.
rain,2019-02-18,6,37.8,rain,Partly cloudy throughout the day with rain clearing later.
partly-cloudy-day,2019-02-19,2.4,26.8,"rain, snow",Becoming cloudy in the afternoon.
